sku,stock
isr_2610,1000
isr_2611,1000
isr_2612,1000
isr_2613,1000
isr_2614,1000
isr_2615,1000
isr_2616,1000
isr_2617,1000
isr_2618,1000
isr_2619,1000
isr_2620,1000
isr_2621,1000
isr_2622,1000
isr_2623,1000
isr_2624,1000
isr_2625,1000
isr_2626,1000
isr_2627,1000
isr_2628,1000
isr_2629,1000
isr_2630,1000
isr_2631,1000
isr_2632,1000
isr_2633,1000
isr_2634,1000
isr_2635,1000
isr_2636,1000
isr_2637,1000
isr_2638,1000
isr_2639,1000
isr_2640,1000
isr_2641,1000
isr_2642,1000
isr_2643,1000
isr_2644,1000
isr_2645,1000
isr_2646,1000
isr_2647,1000
isr_2648,1000
isr_2649,1000
isr_2650,1000
isr_2651,1000
isr_2652,1000
isr_2653,1000
isr_2654,1000
isr_2655,1000
isr_2656,1000
isr_2657,1000
isr_2658,1000
isr_2659,1000
isr_2660,1000
